,Nom_com
328,Thil
329,Thoiry
330,Thoissey
331,Torcieu
332,Tossiat
333,Toussieux
334,Tramoyes
335,La Tranclière
336,Trévoux
337,Valeins
338,Vandeins
339,Varambon
340,Vaux-en-Bugey
341,Verjon
342,Vernoux
343,Versailleux
344,Versonnex
345,Vesancy
346,Vescours
347,Vésines
348,Vieu-d'Izenave
349,Villars-les-Dombes
350,Villebois
351,Villemotier
352,Villeneuve
353,Villereversure
354,Villes
355,Villette-sur-Ain
356,Viriat
357,Virieu-le-Grand
359,Virignin
361,Vonnas
362,Abbécourt
363,Achery
364,Acy
365,Agnicourt-et-Séchelles
366,Aguilcourt
367,Aisonville-et-Bernoville
368,Aizelles
369,Alaincourt
370,Allemant
371,Ambleny
373,Amifontaine
374,Amigny-Rouy
376,Andelain
377,Anguilcourt-le-Sart
379,Annois
380,Any-Martin-Rieux
382,Armentières-sur-Ourcq
384,Artemps
385,Assis-sur-Serre
386,Athies-sous-Laon
387,Attilly
388,Aubencheul-aux-Bois
389,Aubenton
390,Aubigny-aux-Kaisnes
392,Audignicourt
393,Audigny
395,Aulnois-sous-Laon
397,Autremencourt
398,Autreppes
399,Autreville
400,Azy-sur-Marne
403,Barenton-Bugny
404,Barenton-Cel
405,Barenton-sur-Serre
406,Barisis-aux-Bois
407,Barzy-en-Thiérache
408,Barzy-sur-Marne
409,Bassoles-Aulers
410,Bazoches-sur-Vesles
412,Beaumont-en-Beine
413,Beaurevoir
414,Beaurieux
415,Beautor
416,Beauvois-en-Vermandois
417,Becquigny
418,Belleau
419,Bellenglise
420,Belleu
421,Bellicourt
422,Benay
423,Bergues-sur-Sambre
425,Berlise
426,Bernot
427,Berny-Rivière
428,Berrieux
429,Berry-au-Bac
430,Bertaucourt-Epourdon
431,Berthenicourt
432,Bertricourt
433,Berzy-le-Sec
434,Besmé
435,Besmont
436,Besny-et-Loizy
437,Béthancourt-en-Vaux
438,Beugneux
439,Beuvardes
440,Bézu-le-Guéry
441,Bézu-Saint-Germain
442,Bichancourt
445,Billy-sur-Aisne
446,Billy-sur-Ourcq
447,Blanzy-lès-Fismes
448,Blérancourt
449,Blesmes
450,Bohain-en-Vermandois
451,Bois-lès-Pargny
452,Boncourt
453,Bonneil
454,Bonnesvalyn
455,Bony
456,Bosmont-sur-Serre
457,Bouconville-Vauclair
458,Boué
460,Bouresches
461,Bourg-et-Comin
463,Bourguignon-sous-Montbavin
464,La Bouteille
465,Braine
466,Brancourt-en-Laonnois
467,Brancourt-le-Grand
468,Brasles
469,Braye-en-Laonnois
470,Braye-en-Thiérache
472,Braye
473,Brécy
474,Brenelle
475,Breny
477,Brissay-Choigny
478,Brissy-Hamégicourt
479,Brumetz
480,Brunehamel
481,Bruyères-sur-Fère
482,Bruyères-et-Montbérault
484,Bucilly
485,Bucy-le-Long
486,Bucy-lès-Cerny
487,Bucy-lès-Pierrepont
488,Buire
489,Buironfosse
490,Burelles
491,Bussiares
492,Buzancy
493,Caillouël-Crépigny
494,La Capelle
495,Castres
496,Le Catelet
497,Caulaincourt
498,Caumont
500,Celles-sur-Aisne
503,Cerny-lès-Bucy
506,Chacrise
507,Chaillevois
508,Chalandry
509,Chambry
510,Chamouille
511,Champs
512,Chaourse
513,La Chapelle-sur-Chézy
514,Charly-sur-Marne
515,Le Charmel
516,Charmes
517,Chartèves
518,Chassemy
519,Château-Thierry
521,Châtillon-sur-Oise
523,Chaudun
524,Chauny
525,Chavignon
526,Chavigny
527,Chavonne
528,Chérêt
530,Chéry-Chartreuve
531,Chéry-lès-Pouilly
533,Chevennes
534,Chevregny
535,Chevresis-Monceau
536,Chézy-en-Orxois
537,Chézy-sur-Marne
538,Chierry
539,Chigny
540,Chivres-en-Laonnois
541,Chivres-Val
542,Chivy-lès-Étouvelles
543,Chouy
545,Cilly
546,Ciry-Salsogne
547,Clacy-et-Thierret
548,Clairfontaine
549,Clamecy
550,Clastres
551,Clermont-les-Fermes
552,Cœuvres-et-Valsery
553,Coincy
555,Colligis-Crandelain
557,Commenchon
558,Concevreux
559,Condé-en-Brie
560,Condé-sur-Aisne
561,Condé-sur-Suippe
562,Condren
563,Connigis
565,Corbeny
566,Corcy
567,Coucy-le-Château-Auffrique
568,Coucy-lès-Eppes
569,Coucy-la-Ville
570,Coupru
572,Courboin
573,Courcelles-sur-Vesle
575,Courmelles
576,Courmont
577,Courtemont-Varennes
579,Couvrelles
580,Couvron-et-Aumencourt
581,Coyolles
582,Cramaille
584,Craonnelle
585,Crécy-au-Mont
586,Crécy-sur-Serre
587,Crépy
588,Crézancy
589,Croix-Fonsomme
590,La Croix-sur-Ourcq
591,Crouttes-sur-Marne
592,Crouy
594,Cuffies
595,Cugny
596,Cuirieux
597,Cuiry-Housse
601,Cuisy-en-Almont
602,Cutry
603,Cys-la-Commune
604,Dagny-Lambercy
605,Dallon
606,Dammard
607,Dampleux
608,Danizy
609,Dercy
610,Deuillet
611,Dhuizel
612,Dizy-le-Gros
615,Dommiers
616,Domptin
617,Dorengt
618,Douchy
619,Dravegny
621,Dury
622,Ébouleau
623,Effry
624,Englancourt
625,Épagny
627,Épaux-Bézu
628,Épieds
629,L'Épine-aux-Bois
630,Eppes
631,Erlon
633,Esquéhéries
634,Essigny-le-Grand
635,Essigny-le-Petit
636,Essises
637,Essômes-sur-Marne
638,Estrées
639,Étampes-sur-Marne
640,Étaves-et-Bocquiaux
641,Étouvelles
642,Étréaupont
643,Étreillers
644,Étrépilly
645,Étreux
646,Évergnicourt
647,Faverolles
648,Fayet
649,La Fère
650,Fère-en-Tardenois
651,La Ferté-Chevresis
652,Festieux
653,Fieulaine
654,Filain
655,La Flamengrie
656,Flavigny-le-Grand-et-Beaurain
657,Flavy-le-Martel
658,Fleury
659,Fluquières
660,Folembray
661,Fonsomme
662,Fontaine-lès-Clercs
663,Fontaine-lès-Vervins
664,Fontaine-Notre-Dame
665,Fontaine-Uterte
666,Fontenelle
667,Fontenoy
668,Foreste
669,Fossoy
670,Fourdrain
671,Francilly-Selency
672,Franqueville
673,Fresnes-en-Tardenois
674,Fresnes-sous-Coucy
675,Fresnoy-le-Grand
676,Fressancourt
677,Frières-Faillouël
678,Froidestrées
679,Froidmont-Cohartille
680,Gandelu
681,Gauchy
682,Gercy
683,Gergny
686,Gizy
687,Gland
689,Goudelancourt-lès-Pierrepont
690,Goussancourt
691,Gouy
692,Grandlup-et-Fay
694,Gricourt
695,Grisolles
697,Grougis
698,Grugies
700,Guise
701,Guivry
702,Guny
703,Guyencourt
704,Hannapes
705,Happencourt
706,Haramont
707,Harcigny
708,Hargicourt
709,Harly
710,Hartennes-et-Taux
711,Hary
712,Lehaucourt
713,Hautevesnes
714,Hauteville
715,Haution
716,La Hérie
717,Le Hérie-la-Viéville
719,Hirson
720,Holnon
721,Homblières
723,Housset
724,Iron
725,Itancourt
726,Iviers
727,Jaulgonne
728,Jeancourt
729,Jeantes
730,Joncourt
731,Jouaignes
732,Jumencourt
734,Jussy
735,Juvigny
736,Juvincourt-et-Damary
737,Laffaux
738,Laigny
740,Landifay-et-Bertaignemont
741,Landouzy-la-Cour
