SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01110;Colomieu;23;6;0;4;20550;31;15.3;131
01111;Conand;36;3;0;0;19076;18;16.7;120
01112;Condamine;119;12;1;12;22166;37;16.9;414
01113;Condeissiat;207;30;7;41;19700;128;9.7;825
01114;Confort;142;18;1;9;28122;160;12.9;620
01115;Confrançon;358;59;15;57;20484;171;9.8;1331
01116;Contrevoz;107;25;4;0;21524;124;4;500
01117;Conzieu;44;8;3;0;17758;18;13.7;146
01118;Corbonod;285;58;11;15;24378;254;9.6;1255
01121;Corlier;25;5;3;4;20804;16;8.8;113
01123;Cormoranche-sur-Saône;274;41;9;13;23398;210;11.6;1118
01124;Cormoz;138;37;11;7;20488;149;7.6;662
01125;Corveissiat;153;32;10;7;22182;99;12.8;625
01127;Courmangoux;113;14;2;5;23396;126;4;505
01128;Courtes;78;19;6;5;20586;56;6.5;310
01129;Crans;53;11;2;0;21666;56;38;263
01130;Bresse Vallons;649;73;18;43;N/A;289;11.5;2263
01133;Cressin-Rochefort;79;22;6;0;21934;65;12.7;393
01134;Crottet;410;67;8;32;22290;307;10.4;1734
01135;Crozet;571;98;12;41;39158;238;11.3;2126
01136;Cruzilles-lès-Mépillat;225;27;8;9;22376;131;5.8;855
01138;Culoz;746;239;49;315;18996;597;17.4;3053
01139;Curciat-Dongalon;98;21;2;8;17856;119;13.5;443
01140;Curtafond;171;30;5;24;22546;169;9.1;770
01141;Cuzieu;102;18;4;0;23472;96;4.6;436
01142;Dagneux;1274;228;56;220;22916;618;16.1;4706
01143;Divonne-les-Bains;2429;534;63;417;46008;1461;11;9465
01145;Dompierre-sur-Veyle;279;51;10;64;20532;199;11.2;1164
01146;Dompierre-sur-Chalaronne;133;17;3;0;21690;50;7;431
01147;Domsure;107;33;9;12;19288;102;12.4;483
01148;Dortan;402;104;17;116;22168;320;9.8;1846
01149;Douvres;253;36;6;20;25468;146;12.3;1053
01150;Drom;53;5;1;0;21792;26;4.6;217
01151;Druillat;260;38;13;0;22190;265;6.9;1157
01152;Échallon;186;25;4;0;26308;132;7.9;760
01153;Échenevex;685;85;7;28;49508;239;7.4;2172
01155;Évosges;34;12;3;4;19196;27;6.9;145
01156;Faramans;214;14;2;0;23992;106;7.5;801
01157;Fareins;555;91;21;48;25020;421;8.2;2203
01158;Farges;274;53;15;16;34840;122;7.9;1013
01159;Feillens;644;137;32;88;21808;629;13.5;3254
01160;Ferney-Voltaire;2220;700;86;701;24180;1221;8.6;9637
01162;Flaxieu;22;1;0;0;N/A;17;14.5;69
01163;Foissiat;465;81;22;63;21027;396;11.6;2062
01165;Francheleins;476;49;10;11;22972;177;11.4;1574
01166;Frans;549;90;22;57;24956;355;15.9;2334
01167;Garnerans;136;21;5;6;22570;118;3.1;654
01169;Genouilleux;160;15;3;0;23170;69;8.3;600
01170;Béard-Géovreissiat;310;42;14;24;21360;90;7.7;1039
01171;Géovreisset;196;46;9;25;22644;127;2.2;891
01173;Gex;3079;811;124;938;33779;1207;16.5;12652
01174;Giron;46;8;1;0;20992;30;11.1;180
01175;Gorrevod;243;46;13;38;20150;132;10.5;861
01177;Grand-Corent;40;10;1;0;22022;34;5.7;174
01179;Grièges;427;70;18;78;22528;384;6.9;1881
01180;Grilly;195;46;7;0;49428;145;7.4;808
01181;Groissiat;342;40;8;47;23102;150;6.5;1223
01183;Guéreins;382;32;5;0;23288;237;11.1;1435
01184;Hautecourt-Romanèche;199;37;8;13;20490;159;7.7;784
01185;Plateau d'Hauteville;820;167;42;338;N/A;1332;7.2;4845
01187;Haut Valromey;140;28;3;19;19736;149;5.8;695
01188;Illiat;153;37;10;0;22368;104;17.9;615
01189;Injoux-Génissiat;291;66;17;40;27618;138;11.3;1147
01190;Innimond;18;1;0;0;N/A;29;10.2;98
01191;Izenave;29;4;2;0;21760;36;0;162
01192;Izernore;583;124;28;210;21602;316;8.9;2257
01193;Izieu;44;18;5;0;22056;51;8.3;242
01194;Jassans-Riottier;1467;342;100;631;21504;1235;13;6391
01195;Jasseron;457;64;10;64;23756;362;6.8;1762
01196;Jayat;345;33;7;22;20844;171;12.9;1166
01197;Journans;75;7;1;0;25074;73;8.5;355
01198;Joyeux;73;12;1;4;22244;33;3.6;274
01199;Jujurieux;527;117;31;100;20324;431;10.1;2181
01200;Labalme;58;18;6;2;19934;31;0;212
