SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
22101;Langoat;286;71;14;18;18370;201;14.6;1165
22103;Langrolay-sur-Rance;247;37;8;4;22366;146;8.7;923
22104;Languédias;110;36;5;8;17752;107;15.9;502
22105;Languenan;294;54;7;25;18682;186;9.4;1165
22106;Langueux;1590;377;89;259;22243;1523;9.4;7648
22107;Bon Repos sur Blavet;192;47;8;16;18216;407;5.5;1279
22108;Lanleff;23;9;0;3;19016;26;8.3;121
22109;Lanloup;36;12;4;0;21882;72;0;230
22110;Lanmérin;205;37;8;9;17396;53;15;600
22111;Lanmodez;79;14;1;18;19834;129;9.5;423
22112;Lannebert;114;17;5;0;19458;121;11.1;449
22113;Lannion;3693;1446;366;1718;21068;4424;7.2;19831
22114;Lanrelas;185;40;7;13;18472;224;12.1;828
22115;Lanrivain;88;23;4;7;15888;129;6.5;461
22116;Lanrodec;327;54;15;20;19370;152;15.2;1314
22117;Lantic;463;86;19;0;20868;267;6.6;1656
22118;Lanvallay;854;206;45;156;22020;1140;10.1;4153
22119;Lanvellec;119;27;1;0;18830;157;6.7;598
22121;Lanvollon;346;105;22;39;18938;516;8.5;1764
22122;Laurenan;162;35;7;0;17542;182;8.2;735
22124;Lescouët-Gouarec;51;10;1;0;14414;50;4.6;218
22126;Le Leslay;48;11;2;0;18756;23;0;158
22127;Lézardrieux;229;48;4;27;20262;575;4.1;1469
22128;Locarn;57;16;5;6;15930;116;9.9;405
22129;Loc-Envel;8;6;0;0;N/A;21;0;70
22131;Loguivy-Plougras;195;58;11;8;16172;237;2.2;929
22132;Lohuec;43;12;4;0;15502;90;3.8;262
22133;Loscouët-sur-Meu;149;15;4;2;20104;104;18.8;638
22134;Louannec;584;109;19;42;24844;1047;6.5;3073
22135;Louargat;546;111;25;33;18626;486;14;2355
22136;Loudéac;1938;576;114;536;19436;2455;11.5;9593
22137;Maël-Carhaix;277;62;14;35;17268;432;8.6;1514
22138;Maël-Pestivien;54;25;3;0;13876;116;0;390
22139;Magoar;17;4;0;0;N/A;21;11.8;85
22140;La Malhoure;158;21;7;12;21566;60;13.9;576
22141;Mantallot;65;17;3;2;16700;20;0;227
22143;Matignon;229;54;7;35;20448;644;6.1;1652
22144;La Méaugon;290;40;7;28;21972;229;8.6;1286
22145;Mégrit;211;24;7;13;17052;179;11.1;811
22146;Mellionnec;85;26;3;3;16112;94;19.5;410
22147;Merdrignac;571;115;29;75;18736;807;11.6;2940
22148;Mérillac;43;12;4;4;16678;76;0;235
22149;Merléac;76;23;2;1;18638;107;2.2;451
22150;Le Merzer;242;41;8;0;20198;162;8.3;968
22152;Minihy-Tréguier;190;43;8;23;20852;462;5.5;1274
22153;Moncontour;115;20;3;4;19548;378;4.6;868
22155;La Motte;492;61;14;24;19354;467;10.8;2130
22156;Moustéru;153;25;6;12;18358;155;6;670
22157;Le Moustoir;171;25;7;17;19130;118;6;666
22158;Guerlédan;455;94;36;21;19306;792;7;2446
22160;Noyal;216;24;2;2;22040;150;10.1;889
22161;Pabu;468;109;29;21;21278;1003;4.7;2767
22162;Paimpol;940;395;86;546;20682;2874;5.3;7186
22163;Paule;152;58;13;18;17660;159;5.6;716
22164;Pédernec;434;108;22;19;19119;372;10.3;1849
22165;Penguily;183;26;6;0;19860;77;11.5;611
22166;Penvénan;370;116;15;75;20994;1043;3.9;2571
22168;Perros-Guirec;942;358;50;303;24033;3104;4.2;7212
22169;Peumerit-Quintin;38;17;2;0;15779;39;0;175
22170;Plaine-Haute;436;50;11;14;19760;248;17.6;1595
22171;Plaintel;1107;156;32;47;20636;820;12.7;4315
22172;Plancoët;577;182;48;140;18622;826;8.9;3022
22174;Pléboulle;155;40;5;0;20196;249;7;859
22175;Plédéliac;323;64;13;26;19424;282;11.9;1424
22176;Plédran;1634;297;71;187;20847;1019;10;6571
22177;Pléguien;366;52;10;14;18950;228;10.6;1323
22178;Pléhédel;346;50;5;3;18744;306;13.8;1301
22179;Fréhel;203;87;13;27;21570;601;3.9;1550
22180;Plélan-le-Petit;439;88;20;16;20778;465;10.4;1914
22181;Plélauff;111;29;2;3;19794;168;7.7;653
22182;Plélo;861;135;31;23;20634;548;9.6;3332
22183;Plémet;832;166;46;53;19047;884;11.4;3609
22184;Plémy;369;72;19;5;18106;324;7.7;1564
22185;Plénée-Jugon;532;96;16;59;19100;508;10;2408
22186;Pléneuf-Val-André;627;169;30;51;24082;1544;3.4;4069
22187;Plérin;2725;698;145;551;23188;3466;8.1;13824
22188;Plerneuf;283;48;11;5;20322;148;12.4;1046
22189;Plésidy;162;33;3;5;17248;123;4.9;612
22190;Pleslin-Trigavou;881;163;28;111;19994;741;12;3578
22193;Plestan;378;51;13;13;20446;275;13.9;1587
22194;Plestin-les-Grèves;578;183;25;50;21474;1392;5.3;3590
22195;Pleubian;277;109;14;44;19304;966;5.9;2356
22196;Pleudaniel;190;47;8;10;18244;217;5.4;928
22197;Pleudihen-sur-Rance;673;110;15;99;21262;700;8.7;2880
22198;Pleumeur-Bodou;654;179;27;135;23488;1263;6;3968
22199;Pleumeur-Gautier;266;55;12;12;17134;287;9.7;1233
22200;Pléven;135;33;7;5;17633;111;18.9;582
22201;Plévenon;98;45;9;1;22038;312;3.8;795
22202;Plévin;145;52;10;27;17994;192;5.3;761
22203;Ploeuc-L'Hermitage;983;204;52;72;18982;899;9.4;4054
22204;Ploëzal;252;77;7;25;18362;357;2.4;1261
22205;Plorec-sur-Arguenon;74;18;0;3;18780;115;14.6;412
22206;Châtelaudren-Plouagat;861;184;38;68;N/A;855;11.7;3844
22207;Plouaret;378;92;20;50;18932;699;6.5;2145
22208;Plouasne;450;84;17;41;17798;358;11.1;1716
22209;Beaussais-sur-Mer;701;171;42;147;20420;950;9.3;3532
22210;Ploubazlanec;448;124;22;107;22244;1093;6.3;2999
22211;Ploubezre;884;190;38;53;21010;684;10.1;3578
22212;Plouëc-du-Trieux;240;67;13;34;17934;287;6.2;1132
22213;Plouër-sur-Rance;867;160;34;81;22553;737;8.8;3520
22214;Plouézec;493;155;26;69;20828;1139;5.3;3210
22215;Ploufragan;2554;645;155;585;20102;2551;10.6;11398
22216;Plougonver;139;36;9;6;17124;222;10.9;733
22217;Plougras;72;22;3;2;15936;93;4.8;413
22218;Plougrescant;162;41;1;47;18678;448;7.5;1202
22219;Plouguenast-Langast;554;88;15;25;N/A;581;9.6;2492
22220;Plouguernével;268;71;18;50;20270;431;9.9;1711
22221;Plouguiel;340;98;21;46;18272;481;9.6;1774
22222;Plouha;713;178;38;29;20652;1730;6.5;4484
22223;Plouisy;415;96;27;46;19528;374;13.2;1972
22224;Ploulec'h;380;81;15;33;21718;326;10.2;1662
22225;Ploumagoar;1270;213;56;81;20150;1132;8.9;5412
22226;Ploumilliau;521;115;17;18;19499;734;7.2;2487
22227;Plounérin;173;37;7;9;17892;156;9.5;733
22228;Plounévez-Moëdec;284;93;18;21;17576;352;8.4;1434
22229;Plounévez-Quintin;236;59;10;11;17540;232;6.4;1102
22231;Plourac'h;33;23;3;2;16698;103;12.4;322
22232;Plourhan;513;82;16;33;20814;418;8;1989
22233;Plourivo;523;92;20;10;19910;527;11.4;2281
22234;Plouvara;314;56;12;14;18374;174;15.7;1148
22235;Plouzélambre;51;9;0;3;18286;47;4.3;235
22236;Pludual;180;45;12;7;19844;148;8.2;732
22237;Pluduno;516;76;14;18;20768;435;10;2195
22238;Plufur;106;30;6;7;17356;139;3.7;538
22239;Plumaudan;332;72;14;30;18892;227;14.2;1266
22240;Plumaugat;221;53;6;14;18186;287;9.2;1083
22241;Plumieux;222;38;8;15;18272;236;8.9;1016
22242;Plurien;289;69;9;29;19406;471;9.3;1509
22243;Plusquellec;94;25;2;3;17028;136;5.7;528
22244;Plussulien;87;28;2;5;17488;138;12.2;492
22245;Pluzunet;211;35;5;12;18026;207;8;1000
22246;Pommeret;557;68;12;20;21066;339;12.1;2070
22248;Pommerit-le-Vicomte;356;82;16;18;18136;515;3.4;1761
22249;Pont-Melvez;104;28;14;1;18068;148;11.5;609
22250;Pontrieux;197;73;13;78;16536;341;9.7;1036
22251;Pordic;1643;265;47;130;23190;1642;9;7105
22254;Prat;295;56;13;15;17612;197;6.3;1114
22255;La Prénessaye;218;38;9;7;18570;181;12.3;891
22256;Quemper-Guézennec;213;61;5;26;17962;294;9;1113
22257;Quemperven;88;12;4;4;19642;63;7.9;382
22258;Quessoy;936;148;29;54;20016;742;14.2;3804
22259;Quévert;804;163;42;51;21292;930;9.4;3724
22260;Le Quillio;91;24;2;2;20206;207;9;553
22261;Quintenic;104;13;1;3;19901;54;8.2;366
22262;Quintin;574;148;27;168;19674;881;5.3;2815
22263;Le Quiou;67;15;1;4;17962;69;19.3;311
22264;La Roche-Jaudy;526;163;38;37;N/A;597;8.5;2721
22265;Rospez;416;90;15;27;20194;389;9.1;1756
22266;Rostrenen;475;207;47;132;17608;1036;5.9;3062
22267;Rouillac;96;11;2;9;17952;87;7.6;396
22268;Ruca;147;35;7;0;19398;132;11.6;602
22269;Runan;51;10;2;10;15900;54;0;233
22271;Saint-Adrien;84;12;2;0;19270;66;5.6;356
22272;Saint-Agathon;520;100;20;43;20914;529;7.1;2263
22273;Saint-Alban;492;113;20;11;20526;493;7.4;2152
22274;Saint-André-des-Eaux;86;12;0;9;20158;56;18.2;330
22275;Saint-Barnabé;272;45;10;17;19816;258;8.8;1251
22276;Saint-Bihy;79;12;4;0;21308;26;26.8;261
22277;Saint-Brandan;574;114;20;10;19656;400;9.2;2398
22278;Saint-Brieuc;9013;3629;869;4118;18702;9972;10.6;44999
22279;Saint-Caradec;261;54;13;19;18704;221;12.6;1110
22280;Saint-Carné;251;58;13;22;20700;138;6;996
22281;Saint-Carreuc;365;70;16;5;20156;228;8.6;1509
22282;Saint-Cast-le-Guildo;395;143;21;50;22788;1485;4.8;3351
22283;Saint-Clet;190;48;7;30;18358;214;12.6;874
22284;Saint-Connan;47;18;1;0;17492;75;16.7;300
22285;Saint-Connec;47;11;2;3;17122;62;0;255
22286;Saint-Denoual;118;18;3;4;19769;63;19.9;452
22287;Saint-Donan;355;66;13;22;20631;260;9.7;1448
22288;Saint-Étienne-du-Gué-de-l'Isle;65;14;2;5;17931;90;8.5;355
22289;Saint-Fiacre;30;11;2;0;18899;59;9.3;214
22291;Saint-Gildas;70;6;1;1;17248;56;7.2;278
22293;Saint-Gilles-les-Bois;88;10;4;1;18209;83;2.3;428
22294;Saint-Gilles-Pligeaux;55;11;2;3;15764;75;10.3;290
22295;Saint-Gilles-Vieux-Marché;71;21;8;3;16542;80;2.8;351
22296;Saint-Glen;141;26;2;7;19582;116;16.4;609
22299;Saint-Hélen;403;70;19;39;19748;228;10.3;1463
22300;Saint-Hervé;90;18;3;4;19216;84;7.4;408
22302;Saint-Jacut-de-la-Mer;124;37;6;19;22798;393;1.1;906
22304;Saint-Jean-Kerdaniel;171;27;10;2;18816;117;22.2;631
22305;Saint-Jouan-de-l'Isle;146;18;2;4;18310;80;14;499
22306;Saint-Judoce;126;23;3;0;20664;109;5.3;569
22307;Saint-Julien;506;84;19;55;21158;347;8.7;2061
22308;Saint-Juvat;151;30;3;9;18732;143;13.7;657
22309;Saint-Launeuc;39;11;0;1;19948;59;14.7;204
22310;Saint-Laurent;118;31;6;18;17946;95;12.2;490
22311;Saint-Lormel;165;39;13;20;20060;224;11.4;876
22312;Saint-Maden;51;9;0;0;18828;50;21.7;230
22313;Saint-Martin-des-Prés;61;22;2;0;18308;75;9.4;320
22314;Saint-Maudan;95;19;10;10;18994;58;12.5;399
22315;Saint-Maudez;73;21;7;0;18908;62;10.2;293
22316;Saint-Mayeux;84;24;5;8;15824;151;6.4;469
22317;Saint-Méloir-des-Bois;62;10;1;0;17940;55;3.9;257
22318;Saint-Michel-de-Plélan;76;13;3;0;18506;67;9.1;330
22319;Saint-Michel-en-Grève;54;33;1;0;22448;154;4.4;453
22320;Saint-Nicodème;29;15;3;0;14672;50;17.9;168
22321;Saint-Nicolas-du-Pélem;320;59;14;7;18120;509;9;1667
22322;Saint-Péver;101;20;2;0;18740;77;2.4;415
22323;Saint-Pôtan;178;18;2;6;18584;215;8.7;804
22324;Saint-Quay-Perros;213;75;11;18;24006;379;4.6;1309
22325;Saint-Quay-Portrieux;405;145;22;154;23052;1186;5.5;2918
22326;Saint-Rieul;153;24;4;18;19260;87;18.2;548
22327;Saint-Samson-sur-Rance;407;63;11;63;20674;285;14.5;1587
22328;Saint-Servais;68;26;6;1;17496;114;12.2;409
22330;Saint-Thélo;103;14;4;4;18044;89;11.9;419
22331;Sainte-Tréphine;39;11;5;0;17540;40;0;188
22332;Saint-Trimoël;154;20;7;5;20182;65;16.9;533
22333;Saint-Vran;200;28;4;7;17858;145;5.3;758
22334;Saint-Igeaux;21;4;0;0;17310;36;14.5;138
22335;Senven-Léhart;42;15;2;3;16486;55;4.3;233
22337;Sévignac;266;45;9;17;17490;226;10.9;1098
22338;Squiffiec;178;46;7;11;18346;136;11.6;777
22339;Taden;587;123;18;58;21014;487;12.5;2408
22340;Tonquédec;299;58;6;9;19162;217;14.4;1183
22341;Tramain;169;33;8;15;20614;121;11.6;691
22342;Trébédan;115;29;9;28;18038;61;14.1;427
22343;Trébeurden;600;186;27;105;23846;1254;5.2;3664
22344;Trébrivan;143;35;9;20;18528;219;6.8;734
22345;Trébry;189;30;4;0;19682;168;9.8;817
22346;Trédaniel;216;23;7;10;19868;155;9.5;944
22347;Trédarzec;252;46;11;4;19882;249;3.7;1082
22348;Trédias;107;16;4;2;17972;120;14.5;482
22349;Trédrez-Locquémeau;271;75;11;32;21258;440;11.1;1444
22350;Tréduder;42;10;0;0;20090;49;0;196
22351;Treffrin;118;22;5;9;21095;153;1.8;559
22352;Tréfumel;69;11;2;0;20570;64;18.2;275
22353;Trégastel;403;121;17;79;22958;946;5.3;2447
22354;Tréglamus;266;49;10;11;19748;165;10.8;1014
22356;Trégomeur;253;30;7;0;21524;148;13.8;941
22358;Trégonneau;154;28;4;2;18534;75;15.9;566
22359;Trégrom;86;25;5;4;16522;100;4.8;417
22360;Trégueux;1866;371;80;369;20908;2074;11.1;8444
22361;Tréguidel;142;29;5;0;20012;105;11.4;616
22362;Tréguier;320;148;30;190;17722;1009;6.2;2437
22363;Trélévern;174;63;14;19;23780;485;6.4;1257
22364;Trélivan;640;123;21;133;20737;490;10.7;2719
22365;Trémargat;36;14;1;0;14692;25;5.5;181
22366;Trémel;83;29;3;2;18860;112;9.5;421
22368;Tréméreuc;191;23;5;3;21648;142;5.3;761
22369;Trémeur;180;42;13;7;19708;153;13.3;752
22370;Tréméven;71;18;6;2;20244;67;3;338
22371;Trémorel;288;35;7;10;19330;197;19;1160
22372;Trémuson;466;111;24;82;20754;389;12.2;2051
22373;Tréogan;20;5;1;0;N/A;28;10;100
22375;Tressignaux;184;25;11;0;19656;134;5.9;677
22376;Trévé;449;70;11;36;20052;259;14;1645
22377;Tréveneuc;127;36;6;10;22628;244;3.8;785
22378;Trévérec;63;12;3;1;16048;45;9.1;219
22379;Trévou-Tréguignec;240;60;11;12;22550;420;4.5;1339
22380;Trévron;162;41;8;16;19794;109;13;690
22381;Trézény;95;10;3;0;20378;60;11.1;359
22383;Troguéry;50;11;2;3;18300;52;7.5;266
22384;Uzel;262;51;9;41;19002;256;8.6;1041
22385;La Vicomté-sur-Rance;295;55;9;19;20930;215;7.6;1052
22386;Le Vieux-Bourg;232;31;3;8;18160;125;14;787
22387;Le Vieux-Marché;301;78;13;16;19076;287;9;1339
22388;Vildé-Guingalan;338;62;11;13;19598;204;8;1246
22389;Yffiniac;1230;252;58;136;20812;775;11.2;5019
22390;Yvias;193;37;8;9;18682;152;10.5;762
22391;Yvignac-la-Tour;295;49;13;16;18306;249;13.5;1184
23001;Ahun;194;60;18;72;18478;401;8.3;1438
23002;Ajain;204;39;11;20;20075;377;8.8;1135
23003;Alleyrat;24;8;1;0;15998;43;6.9;144
23004;Anzême;117;32;4;8;18272;112;22.5;577
23005;Arfeuille-Châtain;18;12;2;1;16334;50;5.3;187
23006;Arrènes;18;17;1;0;18472;83;4.5;221
23007;Ars;33;7;2;0;17924;76;0;251
23008;Aubusson;420;274;58;424;16060;1150;7.9;3400
23009;Auge;15;5;1;0;N/A;40;0;100
23010;Augères;11;4;0;0;14634;38;16.8;119
23011;Aulon;14;6;1;1;18990;61;19.2;156
23012;Auriat;9;9;1;0;17666;37;0;110
23013;Auzances;182;61;9;80;17973;499;6.5;1239
23014;Azat-Châtenet;15;2;1;0;16857;47;9.1;110
23015;Azerables;97;25;6;17;19054;337;3.7;816
23016;Banize;30;9;1;1;16186;59;0;189
23017;Basville;20;11;0;0;15932;53;18.6;161
23018;Bazelat;46;5;0;0;17470;94;3.8;265
23019;Beissat;1;1;0;0;N/A;4;0;25
23020;Bellegarde-en-Marche;53;13;2;13;19052;174;2.5;408
23021;Bénévent-l'Abbaye;131;56;15;42;17168;280;5;797
23022;Bétête;53;13;4;16;17710;106;0;364
23023;Blaudeix;13;3;0;0;15040;31;20.8;96
23024;Blessac;108;21;3;2;19084;119;7.5;534
23025;Bonnat;220;76;18;29;17920;433;3.8;1302
23026;Bord-Saint-Georges;52;21;3;7;14788;90;8.5;354
23027;Bosmoreau-les-Mines;28;15;2;0;16210;79;16.1;249
23028;Bosroger;25;7;2;0;16152;25;18;111
23029;Le Bourg-d'Hem;30;11;1;0;17908;66;9.6;209
23030;Bourganeuf;499;180;39;217;14798;871;5.6;2656
23031;Boussac;167;63;12;153;16910;530;1.6;1267
23032;Boussac-Bourg;93;38;7;0;19042;256;2.7;732
23033;La Brionne;95;32;9;4;19506;69;11.4;438
23034;Brousse;6;2;1;0;N/A;5;0;27
23035;Budelière;117;29;4;25;18538;209;9.5;733
23036;Bussière-Dunoise;166;51;14;15;20092;354;11.5;1041
23037;Bussière-Nouvelle;11;1;0;0;N/A;35;0;91
23038;Bussière-Saint-Georges;48;11;4;4;17268;69;0;255
23039;La Celle-Dunoise;68;22;3;6;19846;191;3.7;543
23040;La Celle-sous-Gouzon;34;9;0;0;14866;33;13.4;149
23041;La Cellette;20;9;1;0;17866;133;0;262
23042;Ceyroux;18;6;1;0;17648;52;15.6;128
23043;Chamberaud;17;8;3;0;21032;27;0;102
23044;Chambon-Sainte-Croix;12;3;1;0;N/A;30;0;76
23045;Chambon-sur-Voueize;130;39;13;51;17526;341;4.4;911
23046;Chambonchard;19;3;0;0;N/A;19;0;82
23047;Chamborand;56;10;0;5;19256;62;8.2;245
23048;Champagnat;97;26;4;3;16424;132;15.1;465
23049;Champsanglard;47;15;2;0;18750;51;8.1;246
23050;La Chapelle-Baloue;18;7;0;0;13752;54;7.4;135
23051;La Chapelle-Saint-Martial;10;6;0;2;N/A;31;10.4;96
23052;La Chapelle-Taillefert;76;16;2;9;23038;110;14.3;419
23053;Chard;33;3;1;0;15580;55;0;206
23054;Charron;30;7;1;0;17302;81;0;230
23055;Châtelard;1;1;0;0;N/A;14;0;31
23056;Châtelus-le-Marcheix;31;15;4;0;15657;114;3;328
23057;Châtelus-Malvaleix;88;21;6;17;18140;191;10.5;569
23058;Le Chauchet;27;3;1;0;N/A;29;18.3;109
23059;La Chaussade;20;6;0;0;17030;25;9;111
23060;Chavanat;29;6;0;0;15270;38;0;143
23061;Chénérailles;138;37;9;38;17664;216;13.1;763
23062;Chéniers;79;27;4;16;16232;177;5.2;578
23063;Clairavaux;21;2;1;0;19923;56;0;156
23064;Clugnat;100;33;5;6;17902;183;4.6;648
23065;Colondannes;37;14;2;4;16644;81;7.5;267
23066;Le Compas;36;9;1;0;15768;68;0;221
23067;La Courtine;114;28;4;22;19682;178;9.5;740
23068;Cressat;98;40;10;2;17814;152;3.6;554
23069;Crocq;60;12;3;17;16092;133;7.6;397
23070;Crozant;34;33;2;0;16206;198;4.4;453
23071;Croze;31;14;1;3;16828;47;14.9;202
23072;Domeyrot;43;15;3;0;18132;62;4.5;220
23073;Dontreix;65;5;0;4;17068;118;4.9;409
23074;Le Donzeil;39;9;0;0;19394;52;5.3;189
23075;Dun-le-Palestel;173;47;9;59;18366;416;2.7;1127
23076;Évaux-les-Bains;214;65;13;84;18170;458;2.2;1386
23077;Faux-la-Montagne;91;32;4;13;14522;97;9.7;413
23078;Faux-Mazuras;40;8;0;0;17174;39;11.1;180
23079;Felletin;229;81;16;116;18250;512;5.5;1632
23080;Féniers;7;6;0;0;N/A;37;0;94
23081;Flayat;36;15;2;0;17424;118;0;314
23082;Fleurat;75;18;5;2;18006;56;6.6;305
23083;Fontanières;44;15;2;2;17380;68;4;252
23084;La Forêt-du-Temple;26;7;1;0;14763;46;0;141
23086;Fransèches;33;6;1;0;21174;87;4.1;242
23087;Fresselines;55;20;2;4;15856;221;3.9;515
23088;Gartempe;22;6;2;0;18966;40;0;123
23089;Genouillac;142;34;5;42;16894;203;6.7;743
23090;Gentioux-Pigerolles;80;21;3;11;15896;79;7.2;418
23091;Gioux;37;10;1;5;15602;36;0;168
23092;Glénic;140;24;4;8;21062;139;7.6;661
23093;Gouzon;258;51;15;38;18976;511;4.4;1587
23095;Le Grand-Bourg;208;70;22;23;18252;311;4.1;1222
23096;Guéret;2304;1009;237;1567;19304;3120;9.4;13275
23097;Issoudun-Létrieix;60;10;0;1;17984;76;6.7;300
23098;Jalesches;14;1;0;0;N/A;32;0;89
23099;Janaillat;56;19;2;0;18776;106;3;336
23100;Jarnages;88;32;5;19;18798;125;6.4;470
23101;Jouillat;64;9;2;4;19828;113;0;412
23102;Ladapeyre;76;20;2;7;14116;84;25.7;350
23103;Lafat;46;18;4;3;16536;148;5.5;361
23104;Lavaufranche;42;18;4;1;16290;73;4;248
23105;Lavaveix-les-Mines;96;56;12;53;14942;232;8.8;682
23106;Lépaud;82;20;4;10;18656;76;11;362
23107;Lépinas;12;10;2;0;17482;69;20.5;146
23108;Leyrat;32;6;0;0;14506;40;6.7;149
23109;Linard-Malval;26;12;1;1;15964;75;9.6;208
23110;Lioux-les-Monges;17;3;2;0;N/A;16;17.9;56
23111;Lizières;51;16;6;1;17980;77;14.8;270
23112;Lourdoueix-Saint-Pierre;90;39;5;17;17444;268;6.4;776
23113;Lupersat;43;21;1;2;15664;99;3.2;312
23114;Lussat;64;29;4;4;18140;115;4.6;436
23115;Magnat-l'Étrange;46;6;1;1;14342;69;12.8;235
23116;Mainsat;73;36;3;15;16953;222;0;574
23117;Maison-Feyne;59;14;2;8;19238;74;3.3;304
23118;Maisonnisses;30;8;2;0;16830;60;10.2;197
23119;Malleret;6;1;1;0;N/A;12;0;44
23120;Malleret-Boussac;37;6;1;0;15864;66;0;199
23122;Mansat-la-Courrière;8;4;1;0;N/A;23;0;93
23123;Les Mars;35;5;0;0;15012;75;0;196
23124;Marsac;106;31;7;12;16582;272;7.4;675
23125;Le Mas-d'Artige;22;4;1;5;17380;29;9.9;101
23127;Mautes;42;10;2;0;15712;62;13.9;216
23128;Mazeirat;28;5;0;0;19664;41;7.4;135
23129;La Mazière-aux-Bons-Hommes;13;5;0;0;N/A;22;0;67
23130;Méasnes;74;20;2;3;17220;176;7.3;550
23131;Mérinchal;107;27;2;25;16781;228;1.4;738
23132;Montaigut-le-Blanc;72;18;2;6;18202;108;9.8;407
23133;Montboucher;60;23;4;0;17903;92;2.8;351
23134;Le Monteil-au-Vicomte;28;10;0;10;16378;78;9.9;202
23136;Mortroux;50;16;4;1;16488;92;3.5;288
23137;Mourioux-Vieilleville;93;27;3;12;17003;170;9.7;513
23138;Moutier-d'Ahun;29;13;2;3;15850;49;0;180
23139;Moutier-Malcard;58;36;7;0;15716;178;7.6;527
23140;Moutier-Rozeille;73;27;3;0;18304;107;0;431
23141;Naillat;114;11;2;12;18756;203;4.6;653
23142;Néoux;54;18;3;2;17554;75;7;286
23143;Noth;86;20;2;10;19104;116;3.9;507
23144;La Nouaille;33;13;0;3;15602;88;4;247
23145;Nouhant;46;17;5;4;16460;83;10.2;295
23146;Nouzerines;37;12;1;0;16884;83;0;250
23147;Nouzerolles;16;7;1;0;N/A;39;0;101
23148;Nouziers;24;15;2;0;16802;87;0;238
23149;Parsac-Rimondeix;122;36;7;11;18070;182;2.9;695
23150;Peyrabout;31;7;1;0;20985;37;13.2;152
23151;Peyrat-la-Nonière;74;18;5;0;15912;133;2.4;424
23152;Pierrefitte;10;7;0;0;N/A;18;0;70
23154;Pionnat;191;40;7;13;18628;157;13;769
23155;Pontarion;60;17;2;4;18510;103;8.2;366
23156;Pontcharraud;10;3;0;0;N/A;34;25.6;78
23157;La Pouge;14;3;0;0;N/A;28;0;87
23158;Poussanges;16;5;0;0;17878;53;6.6;152
23159;Puy-Malsignat;21;11;4;0;16100;47;0;165
23160;Reterre;42;6;0;1;16200;80;10.4;289
23162;Roches;61;12;1;3;15732;115;21.8;367
23164;Rougnat;85;18;3;0;15970;166;10;498
23165;Royère-de-Vassivière;81;28;6;22;17888;220;1.8;571
23166;Sagnat;29;9;4;0;17564;64;5.1;195
23167;Sannat;59;22;1;5;15392;113;0;350
23168;Sardent;131;37;4;11;19492;221;6.4;785
23169;La Saunière;131;29;9;11;20546;102;11.5;609
23170;Savennes;33;8;1;0;20604;55;9.3;215
23171;Sermur;13;6;1;0;13452;40;0;133
23172;La Serre-Bussière-Vieille;22;5;0;0;15332;42;0;122
23173;Soubrebost;19;6;0;0;19056;45;7.3;137
23174;Soumans;107;30;4;12;16448;167;3.3;611
23175;Sous-Parsat;22;4;0;0;23762;36;17.5;114
23176;La Souterraine;837;390;92;515;18040;1537;5.9;5296
23177;Saint-Agnant-de-Versillat;214;48;10;13;19112;277;6.4;1099
23178;Saint-Agnant-près-Crocq;27;9;4;4;13326;63;10.5;190
23179;Saint-Alpinien;47;14;3;0;19386;69;7.3;274
23180;Saint-Amand;99;19;5;15;19142;95;4;498
23181;Saint-Amand-Jartoudeix;15;8;0;0;17244;60;0;171
23182;Saint-Avit-de-Tardes;32;7;1;0;17774;36;17.2;174
23183;Saint-Avit-le-Pauvre;13;1;0;0;N/A;22;25.6;78
23184;Saint-Bard;24;1;1;0;N/A;24;0;106
23185;Saint-Chabrais;47;13;5;2;16559;90;13.5;297
23186;Saint-Christophe;31;7;2;0;23544;25;13.8;145
23187;Saint-Dizier-la-Tour;32;10;4;0;16232;68;4.7;214
23188;Saint-Dizier-les-Domaines;31;11;0;0;18134;58;10.5;190
23189;Saint-Dizier-Masbaraud;190;54;12;8;N/A;331;7.1;1122
23190;Saint-Domet;25;5;3;0;12696;54;0;177
23191;Saint-Éloi;51;11;1;4;18380;48;8.9;224
23192;Fursac;243;59;14;13;18768;527;9.8;1524
23193;Sainte-Feyre;479;84;7;25;22892;620;4;2472
23194;Sainte-Feyre-la-Montagne;17;9;3;0;18712;34;0;133
23195;Saint-Fiel;249;27;4;13;21726;148;9.6;1037
23196;Saint-Frion;69;15;2;6;15430;56;15.6;257
23197;Saint-Georges-la-Pouge;78;21;4;0;16982;104;16.2;371
23198;Saint-Georges-Nigremont;15;6;1;0;16398;45;0;121
23199;Saint-Germain-Beaupré;82;22;10;21;16362;114;6.8;440
23200;Saint-Goussaud;24;8;2;0;18516;60;0;162
23201;Saint-Hilaire-la-Plaine;38;13;7;0;20658;42;19;210
23202;Saint-Hilaire-le-Château;38;12;1;0;17722;58;8.5;234
23203;Saint-Julien-la-Genête;40;8;1;0;18374;57;4.4;227
